Var1,X,Y
1,NaN,NaN
2,966.8333,1908.5
3,968.8333,1883.5
4,969.5,1858.5
5,970.5,1826.5
6,967.5,1796.8333
7,967.5,1765.5
8,961,1729.25
9,NaN,NaN
10,NaN,NaN
11,NaN,NaN
12,NaN,NaN
13,NaN,NaN
14,NaN,NaN
15,NaN,NaN
16,NaN,NaN
17,NaN,NaN
18,NaN,NaN
19,NaN,NaN
20,NaN,NaN
21,1000.8333,1928.1666
22,1002.8333,1908
23,1005.1666,1884.1666
24,1005.3333,1860.3334
25,1005.3333,1829
26,1005.3333,1797
27,1003.3333,1766
28,1005.6666,1734.6666
29,1006,1700.6666
30,1004.8333,1672.6666
31,1005.5,1626.75
32,NaN,NaN
33,NaN,NaN
34,NaN,NaN
35,NaN,NaN
36,NaN,NaN
37,NaN,NaN
38,NaN,NaN
39,NaN,NaN
40,NaN,NaN
41,1033,1931
42,1037.3334,1907.8334
43,1038.8334,1884.6666
44,1040.3334,1859.1666
45,1041.1667,1829
46,1038.5,1798.1666
47,1037.125,1763.75
48,1036.75,1734
49,1033.5,1699.875
50,1033.125,1672
51,1033.625,1629
52,1033,1594.6666
53,1029.3334,1552.6666
54,1027.6667,1524.5
55,1018.8333,1482.1666
56,1016.5,1443.8334
57,NaN,NaN
58,NaN,NaN
59,NaN,NaN
60,NaN,NaN
61,1069.75,1929.625
62,1072.75,1906.75
63,1074.125,1881.875
64,1074.875,1856.875
65,1074.8334,1827.6666
66,1074.5,1796.5
67,1074.5,1765.6666
68,1074.8334,1733.6666
69,1073.3334,1700.6666
70,1073.1667,1666.1666
71,1068.5,1632.8334
72,1069.3334,1598.1666
73,1067.8334,1565.3334
74,1067.1667,1531.5
75,1063.1667,1492.3334
76,1063,1457.1666
77,1060.3334,1413.8334
78,1056.5,1369.5
79,1050.5,1312
80,NaN,NaN
81,1105.1667,1918.8334
82,1105.6667,1901.6666
83,1106.6667,1877
84,1107,1852.8334
85,1107.1667,1824.3334
86,1108.8334,1794.6666
87,1107.8334,1764.5
88,1106.8334,1732.1666
89,1106,1700.375
90,1105.25,1665.25
91,1105.5,1632.5
92,1106.3334,1601.6666
93,1103.8334,1569.1666
94,1101.875,1533.25
95,1100.75,1496.75
96,1098.5,1459.125
97,1095,1417.25
98,1091.8334,1372.3334
99,1087,1324.6666
100,NaN,NaN
101,NaN,NaN
102,1137.5,1895
103,1138.8334,1870.5
104,1139.8334,1846.5
105,1141,1819
106,1141,1788.75
107,1141.75,1758.25
108,1141,1728
109,1140.5,1694.75
110,1140.75,1662.5
111,1138.5,1632.75
112,1138.75,1600.25
113,1138.5,1567.75
114,1137,1532
115,1136.75,1495.75
116,1136,1458.5
117,1130.5,1416
118,1128.75,1373.25
119,1122.75,1323.75
120,1120,1257
121,NaN,NaN
122,1170.8334,1885.6666
123,1171.8334,1863.5
124,1173.3334,1837.5
125,1173.5,1811
126,1173.8334,1780.8334
127,1174.1667,1752.1666
128,1173,1721
129,1173.5,1690
130,1174.375,1658.25
131,1173,1627
132,1172.625,1597.125
133,1172.25,1563.5
134,1170.875,1526.25
135,1169,1494
136,1169,1454.375
137,1164.875,1412.5
138,1162.75,1369.25
139,1158.75,1319
140,1152.75,1255
141,NaN,NaN
142,NaN,NaN
143,1198.1667,1851.6666
144,1203.6667,1829.5
145,1204.6667,1799.3334
146,1205.8334,1771.3334
147,1205.5,1744.8334
148,1205.625,1714.75
149,1206.125,1683.375
150,1205.75,1651.125
151,1206.5,1619.6666
152,1206,1589.6666
153,1206,1557.3334
154,1203.8334,1521.1666
155,1202.75,1483.5
156,1202,1443.25
157,1199,1404
158,1198,1359.5
159,1191.25,1307.5
160,NaN,NaN
161,NaN,NaN
162,NaN,NaN
163,NaN,NaN
164,NaN,NaN
165,NaN,NaN
166,NaN,NaN
167,NaN,NaN
168,1241.75,1698.25
169,1239.5,1674.5
170,1239.3334,1643.5
171,1238.6667,1612.1666
172,1238.5,1581.6666
173,1238.6667,1550
174,1237.6667,1512.3334
175,1236.1667,1474.6666
176,1233.8334,1437.5
177,1230.5,1393.25
178,1227.75,1347
179,1223.8334,1297.1666
180,NaN,NaN
181,NaN,NaN
182,NaN,NaN
183,NaN,NaN
184,NaN,NaN
185,NaN,NaN
186,NaN,NaN
187,NaN,NaN
188,1263,1685.5
189,1264.6667,1667.3334
190,1269.5,1639.8334
191,1273.1667,1607.8334
192,1273.1667,1577.1666
193,1272.5,1543.8334
194,1271.5,1507
195,1269.5,1469.5
196,1268,1429.5
197,1266.25,1384
198,1260.5,1332
199,NaN,NaN
200,NaN,NaN
201,NaN,NaN
202,NaN,NaN
203,NaN,NaN
204,NaN,NaN
205,NaN,NaN
206,NaN,NaN
207,NaN,NaN
208,NaN,NaN
209,1298,1654.6666
210,1299.1667,1636.1666
211,1307.5,1606.5
212,1307.1667,1574.1666
213,1307.1667,1540.1666
214,1306.5,1503.8334
215,1304.8334,1463.8334
216,1301.8334,1422.1666
217,1300.8334,1375.5
218,1292,1315.5
219,NaN,NaN
220,NaN,NaN
221,NaN,NaN
222,NaN,NaN
223,NaN,NaN
224,NaN,NaN
225,NaN,NaN
226,NaN,NaN
227,NaN,NaN
228,NaN,NaN
229,1331.5,1651.1666
230,1334.8334,1636.5
231,1341.5,1605.5
232,1342.1667,1572
233,1342,1539.3334
234,1342.1667,1504.1666
235,1339.6667,1464
236,1338.3334,1423.6666
237,1336.5,1377
238,1331.25,1303.75
239,NaN,NaN
240,NaN,NaN
241,NaN,NaN
242,NaN,NaN
243,NaN,NaN
244,NaN,NaN
245,NaN,NaN
246,NaN,NaN
247,NaN,NaN
248,NaN,NaN
249,1367.25,1653.125
250,1372,1640.5
251,1376.875,1608.875
252,1377.1667,1578.5
253,1376.8334,1541.8334
254,1376,1507.1666
255,1374.5,1470.1666
256,1374.6667,1429
257,1373.3334,1383.8334
258,1367.5,1317.8334
259,NaN,NaN
260,NaN,NaN
261,NaN,NaN
262,NaN,NaN
263,NaN,NaN
264,NaN,NaN
265,NaN,NaN
266,NaN,NaN
267,NaN,NaN
268,NaN,NaN
269,1410.3334,1663.1667
270,1413.25,1643.5
271,1414,1618.25
272,1413.75,1583.5
273,1413.75,1550.75
274,1414,1516.25
275,1412.8334,1481
276,1410.8334,1440.8334
277,1409,1395
278,1405.6667,1340.6667
279,NaN,NaN
280,NaN,NaN
281,NaN,NaN
282,NaN,NaN
283,NaN,NaN
