Var1,X,Y
1,1187,2460
2,1208.1666,2417.5
3,1220.8334,2368.1667
4,1228.8334,2317.5
5,1225.5,2264.8333
6,1220.8334,2210.8333
7,1216,2160.5
8,NaN,NaN
9,NaN,NaN
10,NaN,NaN
11,NaN,NaN
12,NaN,NaN
13,NaN,NaN
14,NaN,NaN
15,NaN,NaN
16,NaN,NaN
17,NaN,NaN
18,1236,2470
19,1258,2416
20,1272,2364.5
21,1280,2317.5
22,1281,2262
23,1278.1666,2211.1665
24,1279.8334,2161.5
25,1274,2108.5
26,1263.5,2058
27,NaN,NaN
28,NaN,NaN
29,NaN,NaN
30,NaN,NaN
31,NaN,NaN
32,NaN,NaN
33,NaN,NaN
34,NaN,NaN
35,1283.5,2466
36,1304,2412
37,1318.5,2360.5
38,1327.5,2312
39,1329.5,2258.5
40,1330.1666,2206.8333
41,1329.1666,2156.5
42,1325.8334,2107.1667
43,1320.1666,2052.5
44,1311.1666,2000.8334
45,1310.5,1949.5
46,1307.1666,1899.1666
47,1295.1666,1847.1666
48,1280.5,1793.75
49,1248,1740.5
50,NaN,NaN
51,NaN,NaN
52,1325.5,2459
53,1344.5,2410
54,1360,2357.5
55,1369,2311
56,1375,2255.5
57,1374.5,2204
58,1375.25,2152.5
59,1375,2103.25
60,1373.25,2051
61,1370.1666,1998.5
62,1367.5,1949.1666
63,1364.5,1898.1666
64,1356.1666,1845.8334
65,1343.1666,1792.1666
66,1323.5,1738.8334
67,1298.1666,1684.5
68,NaN,NaN
69,NaN,NaN
70,1379.5,2406
71,1393,2355
72,1405.5,2307
73,1412,2253.5
74,1414.5,2201.5
75,1417,2152.5
76,1416.5,2100.5
77,1420.5,2049
78,1420.5,1995
79,1418.5,1946.5
80,1413.5,1895.1666
81,1405.1666,1842.8334
82,1392.5,1790.8334
83,1374.8334,1736.8334
84,1345.5,1682.1666
85,NaN,NaN
86,NaN,NaN
87,NaN,NaN
88,1426,2352.5
89,1434.75,2302.5
90,1443.75,2248.25
91,1449,2197
92,1452,2147.75
93,1456.25,2097.25
94,1461,2045.75
95,1462.5,1993.75
96,1459.5,1943.5
97,1452.5,1892
98,1445.1666,1841.3334
99,1432.1666,1787.8334
100,1412.8334,1733.3334
101,1384.75,1679
102,NaN,NaN
103,NaN,NaN
104,NaN,NaN
105,NaN,NaN
106,NaN,NaN
107,NaN,NaN
108,1483.25,2194.75
109,1486.5,2145
110,1489.75,2094.25
111,1494.3334,2042.6666
112,1497.25,1990.25
113,1494.5,1939.5
114,1486,1889.25
115,1476.5,1837
116,1464.25,1783.25
117,1444.125,1730
118,NaN,NaN
119,NaN,NaN
120,NaN,NaN
121,NaN,NaN
122,NaN,NaN
123,NaN,NaN
124,NaN,NaN
125,NaN,NaN
126,1503.1667,2135.5
127,1520.8334,2089.5
128,1526.5,2038.5
129,1528.1667,1987.5
130,1526.5,1935.8334
131,1518.8334,1883.8334
132,1508.5,1832.5
133,1492,1778.75
134,1460.75,1723.25
135,NaN,NaN
136,NaN,NaN
137,NaN,NaN
138,NaN,NaN
139,NaN,NaN
140,NaN,NaN
141,NaN,NaN
142,NaN,NaN
143,1511,2126
144,1546,2085
145,1569.5,2035.5
146,1570,1982
147,1567.5,1934
148,1560.1666,1882.1666
149,1543.8334,1829.1666
150,1524.5,1776.5
151,NaN,NaN
152,NaN,NaN
153,NaN,NaN
154,NaN,NaN
155,NaN,NaN
156,NaN,NaN
157,NaN,NaN
158,NaN,NaN
159,1519.5,2175
160,1551,2130
161,1591.5,2084
162,1616,2032.5
163,1613.5,1979
164,1610.8334,1929.8334
165,1604.5,1879.5
166,1590.5,1824.5
167,1568.8334,1773.8334
168,1556.5,1748.5
169,NaN,NaN
170,NaN,NaN
171,NaN,NaN
172,NaN,NaN
173,NaN,NaN
174,NaN,NaN
175,NaN,NaN
176,1566.5,2178.5
177,1620.1666,2128.8333
178,1655.5,2081.8333
179,1667.8334,2032.1666
180,1667,1978
181,1664.75,1927.75
