Var1,X,Y
1,1041,2140.5
2,993.5,2095.5
3,978.1667,2051.5
4,971.8333,2007.1666
5,968.8333,1960.1666
6,967.5,1912.8334
7,NaN,NaN
8,NaN,NaN
9,NaN,NaN
10,NaN,NaN
11,NaN,NaN
12,NaN,NaN
13,NaN,NaN
14,NaN,NaN
15,NaN,NaN
16,NaN,NaN
17,NaN,NaN
18,1056.5,2141.5
19,1031,2097
20,1014.5,2052.5
21,1006,2011.5
22,1003.5,1964
23,999.5,1917
24,998.5,1871.5
25,998,1823
26,NaN,NaN
27,NaN,NaN
28,NaN,NaN
29,NaN,NaN
30,NaN,NaN
31,NaN,NaN
32,NaN,NaN
33,NaN,NaN
34,NaN,NaN
35,1097.75,2144
36,1071.25,2101.25
37,1056.5,2056.25
38,1045.75,2013.5
39,1042.5,1965.75
40,1040.5,1917.75
41,1037.75,1872
42,1035.25,1827.25
43,1042,1778.25
44,1046.25,1729
45,1048.5,1681
46,1048.5,1633.75
47,1056.75,1584.5
48,NaN,NaN
49,NaN,NaN
50,NaN,NaN
51,NaN,NaN
52,1146.8333,2145.5
53,1121.5,2103.1667
54,1104.5,2057.1667
55,1092.5,2014.8334
56,1084.1666,1967.1666
57,1082.1666,1919.8334
58,1080.5,1874.5
59,1080.1666,1828.8334
60,1077.8333,1781.8334
61,1075.1666,1732.1666
62,1076.1666,1684.5
63,1079.1666,1638.1666
64,1086.5,1589.8334
65,1097.5,1536.8334
66,1114.5,1484.8334
67,1148.8333,1428.1666
68,NaN,NaN
69,1197.8333,2137.5
70,1173.8333,2102.8333
71,1157.5,2058.5
72,1143.5,2018.8334
73,1135.5,1968.5
74,1129.5,1922.5
75,1124.8333,1877.1666
76,1121.8333,1830.5
77,1118.1666,1782.8334
78,1114.8333,1734.5
79,1114.5,1687.5
80,1118.1666,1640.1666
81,1122.8333,1591.8334
82,1133.8333,1541.5
83,1150.8333,1487.8334
84,1178.5,1431.5
85,NaN,NaN
86,NaN,NaN
87,1239.5,2100.8333
88,1217.5,2058.5
89,1203.8333,2015.8334
90,1191.1666,1968.5
91,1184.5,1920.5
92,1178.8333,1875.8334
93,1172.1666,1831.8334
94,1165.8333,1782.5
95,1160.8333,1736.5
96,1160.5,1688.5
97,1166.5,1639.8334
98,1172.5,1590.8334
99,1185.1666,1539.5
100,1199.5,1489.1666
101,1230.5,1431.8334
102,NaN,NaN
103,NaN,NaN
104,NaN,NaN
105,1277.5,2051.1667
106,1258.1666,2014.5
107,1249.5,1966.5
108,1240.8333,1921.1666
109,1234.8333,1874.5
110,1228.8333,1829.5
111,1220.8333,1782.1666
112,1214.8333,1735.5
113,1215.8333,1687.5
114,1222.5,1639.5
115,1228.8333,1590.1666
116,1241.5,1539.1666
117,1261.1666,1485.1666
118,1299.1666,1428.1666
119,NaN,NaN
120,NaN,NaN
121,NaN,NaN
122,NaN,NaN
123,NaN,NaN
124,1391.8333,1945.1666
125,1371.5,1906.5
126,1327.5,1868.5
127,1283.1666,1830.1666
128,1272.1666,1781.5
129,1268.5,1733.8334
130,1270.1666,1686.8334
