Var1,X,Y
1,1287.875,2366.4167
2,1336.5834,2316.5833
3,1361.8334,2263.1667
4,1373.1666,2212.1667
5,1376.8334,2155.5
6,1375,2100
7,1376.5,2048.1667
8,1359.8334,1996.5
9,NaN,NaN
10,NaN,NaN
11,NaN,NaN
12,NaN,NaN
13,NaN,NaN
14,NaN,NaN
15,NaN,NaN
16,NaN,NaN
17,NaN,NaN
18,1333,2370.75
19,1380,2315.25
20,1407.1666,2261.5
21,1424.1666,2211.5
22,1428.5,2152.8333
23,1429.25,2100.625
24,1433.625,2046.375
25,1427.875,1994.25
26,1419.6666,1934.3334
27,1413.75,1877
28,1381.1666,1822.8334
29,1380.875,1768.875
30,1367.25,1714.75
31,1353.5,1660.5
32,1316.8334,1614.5
33,NaN,NaN
34,NaN,NaN
35,1374.5,2367.5
36,1422.25,2312.75
37,1450,2258.6667
38,1465.1666,2207.5
39,1472.5,2152.5
40,1474.25,2097
41,1478.625,2043
42,1474.8334,1990.1666
43,1469.8334,1934.8334
44,1460.1666,1879.3334
45,1461,1827.25
46,1457.8334,1772.5
47,1441,1717.8334
48,1422.25,1662.5
49,1392.1666,1604.1666
50,1371.75,1546.25
51,NaN,NaN
52,NaN,NaN
53,1453.25,2308.75
54,1481,2254.75
55,1498.5,2205
56,1511.1666,2148.5
57,1516.1666,2095.1665
58,1519,2040.75
59,1520.5,1987.25
60,1520.75,1935.5
61,1520,1880.25
62,1517,1826
63,1516.625,1773.875
64,1505,1719.8334
65,1486,1663.6666
66,1456.3334,1606.8334
67,1413.625,1548.25
68,NaN,NaN
69,NaN,NaN
70,NaN,NaN
71,NaN,NaN
72,NaN,NaN
73,1534.25,2147
74,1543.8334,2093.1665
75,1550.6666,2039.8334
76,1552.1666,1987.5
77,1562.3334,1934.6666
78,1565.8334,1879
79,1564.3334,1825.8334
80,1558.625,1773.125
81,1548.3334,1718.75
82,1530.375,1663.5
83,1503.375,1606.375
84,1457.5834,1547
85,NaN,NaN
86,NaN,NaN
87,NaN,NaN
88,NaN,NaN
