Var1,X,Y
1,902,2413.5
2,868,2366
3,862.5,2319.5
4,864,2274.5
5,864,2226.75
6,865.5,2178
7,NaN,NaN
8,NaN,NaN
9,NaN,NaN
10,NaN,NaN
11,NaN,NaN
12,NaN,NaN
13,NaN,NaN
14,NaN,NaN
15,NaN,NaN
16,NaN,NaN
17,NaN,NaN
18,926.1667,2415.1667
19,916.5,2369.8333
20,906.8333,2321.8333
21,903.8333,2278.8333
22,903.8333,2226.5
23,903.8333,2179.1667
24,904,2134.5
25,908.5,2086.25
26,NaN,NaN
27,NaN,NaN
28,NaN,NaN
29,NaN,NaN
30,NaN,NaN
31,NaN,NaN
32,NaN,NaN
33,NaN,NaN
34,NaN,NaN
35,973.5,2416.5
36,960.8333,2374.1667
37,952.8333,2325.5
38,947.1667,2282.1667
39,947.5,2232.1667
40,946.8333,2181.8333
41,947.8333,2137.5
42,947.8333,2091.5
43,959.8333,2040.1666
44,963.1667,1989.8334
45,967.5,1943.5
46,969.25,1894.25
47,976.5,1844.75
48,986.5,1797.5
49,NaN,NaN
50,NaN,NaN
51,NaN,NaN
52,1023.5,2416.8333
53,1009.8333,2376.1665
54,1003.8333,2328.8333
55,996.1667,2285.8333
56,993.8333,2235.8333
57,993.5,2188.1665
58,994.5,2139.5
59,997.1667,2093.5
60,998.1667,2045.1667
61,999.1667,1994.8334
62,1005.5,1947.8334
63,1008.5,1899.8334
64,1015.8333,1850.5
65,1027.8333,1799.5
66,1041.1667,1747.8334
67,1066.1667,1693.1667
68,NaN,NaN
69,1076.25,2412
70,1065,2379.25
71,1056.25,2331.75
72,1049.75,2290
73,1045,2238.5
74,1043,2189.5
75,1043,2143.25
76,1043,2094.25
77,1044.75,2046.5
78,1043,1996.5
79,1047.25,1950.5
80,1051.75,1901
81,1057.5,1852.75
82,1068.5,1801.75
83,1083.25,1751.25
84,1104.25,1698
85,NaN,NaN
86,NaN,NaN
87,1127.5,2377.8333
88,1114.5,2335.8333
89,1108.5,2289.8333
90,1101.8333,2239.8333
91,1100.8333,2192.5
92,1096.8333,2144.1665
93,1094.5,2099.1665
94,1094.8333,2046.8334
95,1093.8333,2000.5
96,1095.8333,1951.8334
97,1101.5,1903.5
98,1108.5,1855.1667
99,1119.8333,1804.8334
100,1134.8333,1751.5
101,1157.1667,1698.1667
102,NaN,NaN
103,NaN,NaN
104,NaN,NaN
105,NaN,NaN
106,1167,2288
107,1159.5,2242
108,1155,2193.5
109,1154,2146
110,1150.5,2098.5
111,1148.5,2049.5
112,1148,2000
113,1149,1954
114,1157,1906.5
115,1164.5,1857.1667
116,1177.1667,1804.1667
117,1193.5,1753.1667
118,1223.1667,1696.5
119,NaN,NaN
120,NaN,NaN
121,NaN,NaN
122,NaN,NaN
123,NaN,NaN
124,NaN,NaN
125,1263.5,2186.5
126,1236,2144.5
127,1206.5,2103.5
128,1201,2054
129,1200.5,2004
130,1204.5,1956
131,1210.5,1906
132,1218.5,1856
133,1234.5,1803.5
134,1257,1750.5
135,1287,1699
136,NaN,NaN
137,NaN,NaN
138,NaN,NaN
139,NaN,NaN
140,NaN,NaN
141,NaN,NaN
142,1328.1667,2189.1665
143,1306,2140
144,1272.5,2102
145,1256,2056
146,1254.5,2005
147,1258,1958
148,1266.5,1908.5
149,1276.5,1858
150,1299,1804
151,1335.5,1746
152,NaN,NaN
153,NaN,NaN
154,NaN,NaN
155,NaN,NaN
156,NaN,NaN
157,NaN,NaN
158,NaN,NaN
159,1382.1667,2189.5
160,1354.8333,2147.1665
161,1317.8333,2106.1665
162,1303,2059
163,1302,2010
164,1306.5,1959.5
165,1314,1912
166,1326,1859.5
167,1345.5,1806
168,1383,1754.5
169,NaN,NaN
170,NaN,NaN
171,NaN,NaN
172,NaN,NaN
173,NaN,NaN
174,NaN,NaN
175,NaN,NaN
176,NaN,NaN
177,1368.8333,2151.8333
178,1346.1667,2110.8333
179,1341.5,2064.8333
180,1341.8333,2011.8334
181,1344.5,1962.8334
182,1351.5,1915.5
183,1364.1667,1865.1667
184,1381.1667,1812.8334
185,1424.5,1755
186,NaN,NaN
187,NaN,NaN
188,NaN,NaN
189,NaN,NaN
190,NaN,NaN
191,NaN,NaN
192,NaN,NaN
193,NaN,NaN
194,1388.5,2161.5
195,1377.5,2120.8333
196,1376.1667,2071.8333
197,1377.5,2019.1667
198,1378.5,1971.1667
199,1386.8333,1920.1667
200,1395.5,1871.8334
201,1409.8333,1821.1667
202,1440.1667,1762.1667
203,NaN,NaN
204,NaN,NaN
205,NaN,NaN
206,1448,2410.5
207,1437.5,2367
208,1427.5,2320.1665
209,1419.1667,2267.1665
210,1410.8333,2219.5
211,1410.5,2170.1665
212,1408.5,2123.5
213,1410.1667,2074.5
214,1411.8333,2024.1667
215,1413.1667,1977.8334
216,1424.8333,1925.8334
217,1432.1667,1877.5
218,1443.8333,1826.8334
219,1462.8333,1773.5
220,NaN,NaN
221,NaN,NaN
222,1495,2454
223,1479,2416
224,1468.5,2369.5
225,1458.5,2323.5
226,1451,2272.5
227,1447,2225
228,1447.5,2175
229,1452,2127.5
230,1452.5,2079
231,1452,2027
232,1455.5,1980.5
233,1465,1930
234,1473.5,1881.5
235,1482,1830
236,1499,1778
237,1524.3333,1730.8334
238,NaN,NaN
239,1537.8333,2463.1665
240,1521.5,2420.5
241,1508.1667,2372.5
242,1499.8333,2327.8333
243,1493.1667,2276.5
244,1490.1667,2228.8333
245,1489.8333,2179.1665
246,1489.5,2131.5
247,1491.8333,2081.1665
248,1494.1667,2033.8334
249,1499.5,1983.1667
250,1507.8333,1934.8334
251,1516.8333,1884.8334
252,1526.5,1835.5
253,1544.5,1783.1667
254,NaN,NaN
255,NaN,NaN
256,1585.1667,2469.1665
257,1567.5,2425.5
258,1555.8333,2376.8333
259,1544.5,2332.8333
260,1540.1667,2280.5
261,1538.1667,2232.1665
262,1535.1667,2183.8333
263,1533.5,2132.5
264,1536.5,2083.5
265,1539.5,2036.8334
266,1545.5,1986.8334
267,1555.1667,1937.1667
268,1562.5,1888.5
269,1578.8333,1836.8334
270,NaN,NaN
271,NaN,NaN
272,NaN,NaN
273,1636.1667,2469.1665
274,1620.1667,2428.1665
275,1605.1667,2378.5
276,1596.5,2333.5
277,1588.8333,2283.5
278,1586.5,2233.5
279,1583.8333,2187.5
280,1586.5,2140.1665
281,1584.5,2093.1665
282,1586.8333,2038.8334
283,1592.8333,1989.8334
284,1602.1667,1939.8334
285,1619.8333,1887.1667
286,NaN,NaN
287,NaN,NaN
288,NaN,NaN
289,NaN,NaN
290,1690.5,2461.3333
291,1674.5,2429.5
292,1657.6667,2382
293,1649.6667,2337.6665
294,1642.5,2286
295,1640.25,2236.5
296,1640,2189.5
297,1640.8333,2141.5
298,1644.8333,2090.1665
299,1648.1667,2039.8334
300,1644.1667,1989.8334
301,1654.8333,1941.1667
302,NaN,NaN
303,NaN,NaN
304,NaN,NaN
305,NaN,NaN
306,NaN,NaN
307,NaN,NaN
308,1734.5,2430
309,1725.5,2385
310,1716,2340.5
311,1705.5,2289.5
312,1703.5,2239
313,1705,2186
314,1720.5,2134.5
315,1714.5,2082.5
316,NaN,NaN
317,NaN,NaN
318,NaN,NaN
319,NaN,NaN
320,NaN,NaN
321,NaN,NaN
322,NaN,NaN
323,NaN,NaN
